id,num_of_pic,price,brand,model,title,year,km,steering_side,region_specs,location,location_cleaned
1,17,159000,Ford,F-Series Pickup,SVT Raptor 2018 F150 under service contract Feb 2026,2018,107000,Left Hand,GCC Specs,"Sheikh Zayed Road, Dubai",Dubai
2,18,276000,Ford,Mustang,"Ford Mustang Shelby, original, American import, only 2000 km, 2 year warranty",2021,2000,Left Hand,American Specs,"Saif Zone (Sharjah International Airport Free Zone), Sharjah",Sharjah
3,19,62500,Ford,Edge,"Black Package â€¢ 1,295x48PM â€¢ 2016 Ford Edge EcoBoost SE 2.0 250bhp â€¢ Full Service History Ford",2016,79000,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
4,19,169000,Ford,Mustang,"FORD WARRANTY â€¢ 2,660x60PM â€¢ 2020 Ford Mustang GT V8 450 BHP â€¢ Ford Service History â€¢ GCC",2020,55000,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
5,19,209000,Ford,Mustang,"Ford Warranty â€¢ 3,290x60PM â€¢ 2023 Ford Mustang GT V8 450 BHP â€¢ Ford Service Contract â€¢ GCC",2023,29000,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
6,15,29900,Ford,Focus,GCC / 2018 / HATCHBACK + BLUETOOTH SYSTEM + POWER LOCKS + / UNLIMITED MILEAGE WARRANTY,2018,94075,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
7,19,26800,Ford,Focus,GCC / 2017 / SEDAN + NAVIGATION + CAMERA + BLUETOOTH SYSTEM + POWER LOCKS / UNLIMITED KMS WARRANTY,2017,173047,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
8,14,135000,Ford,F-Series Pickup,RECOVERY + FULL DOWN PLATFORM FROM P.M / 2018 / GCC / F550 / AUTOMATIC GEAR-BOX + DIESEL + 3 SEATERS,2018,376047,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
9,14,129000,Ford,Mustang,DIGITAL CLUSTER/RECARO SEATS/ACTIVE EXHAUST/FULL OPTION,2022,34600,Left Hand,American Specs,"Dubai Marina, Dubai",Dubai
10,15,212000,Ford,F-Series Pickup,AED3221/month | 2021 Ford F 150 3.5L | Warranty | Service | GCC Specifications | Ref#137079,2021,42053,Left Hand,GCC Specs,"Arabian Ranches, Dubai",Dubai
11,20,104990,Ford,Territory,"AED 1,651 PM â€¢ TERRITORY â€¢ FORD WARRANTY AND SERVICE CONTRACT UNTIL 2027",2023,24000,Left Hand,GCC Specs,"Dubai Investment Park (DIP), Dubai",Dubai
12,20,109990,Ford,Explorer,"AED 1,730 PM â€¢ EXPLORER LIMITED 3.5L TURBO CHARGED â€¢ FULL SERVICE HISTORY",2018,103000,Left Hand,GCC Specs,"Dubai Investment Park (DIP), Dubai",Dubai
